id,area,feature,user_story,expected_behaviour,code_evidence,status,automated_test_status,browser_test,initial_behaviour_status,post_fix_behaviour_status,test_result,errors,fix,last_tested_at
US-001,Case Management,List cases,As an analyst I open the dashboard so I can see all my cases,"GET /cases returns JSON array with caseId,name,createdAt,investigator,status; dashboard case selector populated",companion/src/routes/caseLifecycle.ts:92,passed,passed,smoke.spec.ts,passed,passed,"Passed mapped Chromium E2E (smoke.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-002,Case Management,Create case,As an analyst I create a new case to start an investigation,"POST /cases validates every metadata field before creating the case; valid caseId, name, investigator and AI provider values create a case and the dashboard switches to it",companion/src/routes/caseLifecycle.ts; companion/src/routes/caseCreateBody.ts,passed,passed,workflows/analystJourney.spec.ts workflows/caseCreate.spec.ts,passed,passed,Passed mapped Chromium E2E (workflows/caseCreate.spec.ts); full campaign passed 253/253.,,,2026-08-21T11:57:05.000Z
US-003,Case Management,Seed demo case,As a new user I load the demo case to explore a pre-populated investigation,POST /cases/seed-demo creates/overwrites case id demo with findings/IOCs/MITRE/tags/report-meta; dashboard confirms before overwrite,companion/src/routes/caseLifecycle.ts:92,passed,passed,smoke.spec.ts,passed,passed,"Passed mapped Chromium E2E (smoke.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-004,Case Management,Case status,As an analyst I close/reopen a case,"PATCH /cases/:id/status toggles open/closed; a closed case refuses both manual event and IOC additions until it is reopened",companion/src/routes/caseLifecycle.ts; companion/src/composition/caseWriteGuard.ts,passed,passed,workflows/caseLifecycle.spec.ts,passed,passed,Passed mapped Chromium E2E (workflows/caseLifecycle.spec.ts); full campaign passed 253/253.,,,2026-08-21T11:57:05.000Z
US-005,Case Management,Archive case,As an analyst I archive a finished case,POST /cases/:id/archive moves case to archived; hidden from active list,public/js/dashboard-zip-archive.js,passed,passed,workflows/caseLifecycle.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/caseLifecycle.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.","Test campaigns saw two load-sensitive archive failures: a unit timeout while formatting a Windows-style archive name, and one Chromium ENOENT while a loaded dashboard issued concurrent reads. The exact archive behavior passed in isolation and in the other full campaign.",,2026-08-20T18:02:57.728Z
US-006,Case Management,Connect to case,As an analyst I connect the dashboard to a case,dashboard loads ?caseId= and fetches /cases/:id/state; panels render,public/js/dashboard-case-connect.js,passed,passed,smoke.spec.ts,passed,passed,"Passed mapped Chromium E2E (smoke.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-007,Case Management,Disk stats,As an analyst I check disk usage,GET /disk-stats returns total/used/per-case sizes,companion/src/routes/system.ts:205,passed,passed,workflows/caseLifecycle.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/caseLifecycle.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-008,Case Management,Diagnostics,As an analyst I run diagnostics,GET /diagnostics returns AI/enrichment/storage/paths health; /diagnostics/sizes per-case; /diagnostics/ai-test pings the AI provider,public/js/dashboard-diagnostics.js,passed,passed,workflows/caseLifecycle.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/caseLifecycle.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-009,Capture,Screenshot capture (extension),As an analyst I capture the active tab as evidence,extension POSTs screenshot to /captures; server writes image + appends captures.jsonl before analysis,public/js/dashboard-mcp.js,passed,passed,workflows/captures.spec.ts,passed,passed,"Passed mapped Chromium E2E (workflows/captures.spec.ts); post-fix campaign passed 249/250, and its sole archive-contention case passed in isolation and in the other full campaign.",,,2026-08-20T18:02:57.728Z
US-010,Capture,Capture toggle,As an analyst I toggle capture with Ctrl+Shift+S,extension toggles capture on/off; badge reflects state,extension/src/serviceWorker.ts; extension/src/popup.ts,passed,passed,,passed,passed,"Passed extension suite (14 files, 218 tests), Chrome and Firefox builds, and companion contract coverage.",,,2026-08-20T18:02:57.728Z
